generation,N_shifts,logPrior,logLik,eventRate,acceptRate
38376000,8,-5.05896,6669.03,0.0188132,0.0895
38378000,8,-10.3572,6667.86,1.98932,0.0805
38380000,8,-10.4676,6666.84,3.139,0.091
38382000,8,-14.2475,6670.42,1.87308,0.088
38384000,7,-14.1097,6620.44,4.58912,0.0823864
38386000,8,-7.14009,6665.9,1.47682,0.085
38388000,8,-6.26282,6662.01,0.256458,0.0775
38390000,7,-9.69816,6610.92,0.409688,0.078
38392000,7,-10.143,6609.26,0.484741,0.0915
38394000,7,-3.30227,6611.7,0.0379139,0.0825
38396000,9,-8.08817,6664.42,0.651008,0.08875
38398000,8,-4.96699,6667.57,0.467821,0.092
38400000,7,-4.23552,6609.28,0.484095,0.083
38402000,7,-6.40189,6611.06,1.34389,0.084
38404000,7,-9.57814,6612.38,0.464602,0.088
38406000,7,-12.8691,6608.18,1.53283,0.0835
38408000,8,-5.46328,6668.49,0.294001,0.0882
38410000,8,-11.7739,6665.88,2.23731,0.0985
38412000,8,-4.77356,6661.01,0.01192,0.0815
38414000,8,-6.1006,6667.05,0.635448,0.094
38416000,8,-9.2228,6669.15,2.47569,0.0895
38418000,8,-8.69796,6663.03,0.703203,0.0955
38420000,8,-6.86215,6662.54,0.248926,0.092
38422000,7,-7.1339,6609.69,1.92358,0.088125
38424000,7,-4.06872,6611.27,0.063829,0.075
38426000,7,-5.91173,6611.91,0.445422,0.085
38428000,7,-6.96819,6612.18,0.097386,0.0855
